clientid, top25_client_name
11138349,Ditech Mortgage Corp
11090546,Nationstar Mortgage LLC dba Greenlight Loans
11125373,New American Funding
11129667,EverBank
183267,Umpqua Bank
11136764,Veterans United dba of Mortgage Research Center
11144410,Primary Residential Mortgage, Inc.
11116479,American Pacific Mortgage
803888,First Guaranty Mortgage Corporation
799814,Carrington Mortgage Services, LLC
11129143,ENG Lending
11130625,Potomac Mortgage Group, Inc.
11118971,Penny Mac (Private National Mortgage Acceptance Company, LLC)
11083368,FBC Mortgage, LLC
799769,Banc of California, National Association
803276,Security National Mortgage
11128139,George Mason Mortgage
11136942,Arvest Bank and its subsidiaries and Affiliates
11135379,Home Point Financial Corporation
086896,Weststar Mortgage, Inc.
11107043,Nations Direct Mortgage, LLC
182676,Fairway Independent Mortgage Corporation
11127713,Monarch Bank
799029,Prospect Mortgage, LLC
799373,Opes Advisors
906603,Guaranteed Rate
