device,modinf,model,modtype
"172.21.128.12",1,"N9k-X9636PQ","36p 40G Ethernet Module"
"172.21.128.12",2,"N9K-X9464PX","48x1/10G SFP+ 4x40G Ethernet Module"
"172.21.128.12",22,"N9K-C9508-FM","Fabric Module"
"172.21.128.12",24,"N9K-C9508-FM","Fabric Module"
"172.21.128.12",26,"N9K-C9508-FM","Fabric Module"
"172.21.128.12",27,"N9K-SUP-A","Supervisor Module"
"172.21.128.12",29,"N9K-SC-A","System Controller"
"172.21.128.12",3,"N9K-X9432PQ","32p 40G Ethernet Module"
"172.21.128.12",30,"N9K-SC-A","System Controller"
"172.21.128.12",4,"N9K-X9636PQ","36p 40G Ethernet Module"
"172.21.128.12",5,"N9K-X9464TX","48x1/10G-T 4x40G Ethernet Module"
"172.21.128.12",6,"N9K-X9564PX","48x1/10G SFP+ 4x40G Ethernet Module"
"172.21.128.15",1,"N9K-C9396PX","1/10G SFP+ Ethernet Module"
"172.21.128.15",2,"N9K-M12PQ","40G Ethernet Expansion Module"
"172.21.128.76",1,"N9k-X9636PQ","36p 40G Ethernet Module"
"172.21.128.76",2,null,"36p 40G Ethernet Module"
"172.21.128.76",22,"N9K-C9508-FM","Fabric Module"
"172.21.128.76",24,"N9K-C9508-FM","Fabric Module"
"172.21.128.76",26,"N9K-C9508-FM","Fabric Module"
"172.21.128.76",27,"N9K-SUP-A","Supervisor Module"
"172.21.128.76",29,"N9K-SC-A","System Controller"
"172.21.128.76",3,"N9K-X9432PQ","32p 40G Ethernet Module"
"172.21.128.76",4,"N9K-X9464PX","48x1/10G SFP+ 4x40G Ethernet Module"
"172.21.128.76",5,null,"48x1/10G-T 4x40G Ethernet Module"
"172.21.128.79",1,"N9K-C9396PX","1/10G SFP+ Ethernet Module"
"172.21.128.79",2,"N9K-M12PQ","40G Ethernet Expansion Module"
