clientid, top_client_name
11090546,Nationstar Mortgage LLC dba Greenlight Loans
11125373,New American Funding
11129667,EverBank
11116479,American Pacific Mortgage
11138349,Ditech
799814,"Carrington Mortgage Services, LLC"
11136764,Mortgage Research Center dba Veterans United
11006578,Summit Funding
799769,"Banc of California, National Association"
183267,Umpqua Bank
11118971,"Penny Mac (Private National Mortgage Acceptance Company, LLC)"
11144410, Primary Resedential Mortgage,Inc.
803888,First Guaranty Mortgage Corporation
799865,Excel Mortgage Servicing,Inc.
799029,Prospect Mortgage,LLC
906603,Guaranteed Rate
